OldLabel	NewLabel
E1	E1
E2	E2
E3	E3
E4	E4
E5	E5
E6	E6
E7	E7
E8	E8
E9	Fp2
E10	E10
E11	Fz
E12	E12
E13	E13
E14	E14
E15	E15
E16	E16
E17	E17
E18	E18
E19	E19
E20	E20
E21	E21
E22	Fp1
E23	E23
E24	F3
E25	E25
E26	E26
E27	E27
E28	E28
E29	E29
E30	E30
E31	E31
E32	E32
E33	F7
E34	E34
E35	E35
E36	C3
E37	E37
E38	E38
E39	E39
E40	E40
E41	E41
E42	E42
E43	E43
E44	E44
E45	T7
E46	E46
E47	E47
E48	E48
E49	E49
E50	E50
E51	E51
E52	P3
E53	E53
E54	E54
E55	E55
E56	E56
E57	M1
E58	P7
E59	E59
E60	E60
E61	E61
E62	Pz
E63	E63
E64	E64
E65	E65
E66	E66
E67	E67
E68	E68
E69	E69
E70	O1
E71	E71
E72	E72
E73	E73
E74	E74
E75	Oz
E76	E76
E77	E77
E78	E78
E79	E79
E80	E80
E81	Iz
E82	E82
E83	O2
E84	E84
E85	E85
E86	E86
E87	E87
E88	E88
E89	E89
E90	E90
E91	E91
E92	P4
E93	E93
E94	E94
E95	E95
E96	P8
E97	E97
E98	E98
E99	E99
E100	M2
E101	E101
E102	E102
E103	E103
E104	C4
E105	E105
E106	E106
E107	E107
E108	T8
E109	E109
E110	E110
E111	E111
E112	E112
E113	E113
E114	E114
E115	E115
E116	E116
E117	E117
E118	E118
E119	E119
E120	E120
E121	E121
E122	F8
E123	E123
E124	F4
E125	E125
E126	E126
E127	E127
E128	E128
